name,variety,fieldName,sectionName,plantedDate,harvestReadyDate,status,area,expectedYield,notes
Blueberries,Legacy,North Field,Section 9,2022-11-01,2024-06-15,completed,900,220,"Late season variety, excellent flavor"
Raspberries,Heritage,North Field,Section 10,2023-03-01,2024-07-01,completed,850,190,"Everbearing, fall and summer harvest"
Blackberries,Triple Crown,North Field,Section 11,2023-03-01,2024-07-15,completed,900,210,"Thornless variety, large fruit"
Passionfruit,Frederick,Trellis Section,Row 1,2022-05-01,2024-02-01,completed,400,280,"Vigorous vines, year-round in greenhouse"
Kiwi,Hayward,Trellis Section,Row 2,2021-04-01,2024-10-01,completed,600,320,"Female variety, needs pollinator"
Dragon Fruit,White Flesh,Greenhouse C,Section 1,2022-06-15,2024-07-15,completed,300,85,"Exotic cactus fruit, premium pricing"
Hops,Cascade,Trellis Section,Row 3,2023-04-15,2024-08-15,completed,500,120,"Craft brewery market, aromatic variety"
Bamboo,Moso,Bamboo Grove,Section 1,2021-01-15,2024-04-15,completed,1500,450,"Edible shoots, construction poles"
Persimmons,Fuyu,Orchard,Row 1,2020-02-01,2024-10-15,completed,600,380,"Non-astringent, eat firm like apple"
Pomegranates,Wonderful,Orchard,Row 2,2020-02-01,2024-09-01,completed,550,340,"Drought-tolerant, high antioxidants"
Asian Pears,Shinseiki,Orchard,Row 3,2020-03-15,2024-08-15,completed,580,360,"Crisp texture, Asian market demand"
Mulberries,Pakistan,Orchard,Row 4,2021-04-01,2024-06-01,completed,450,280,"Large fruit, heat tolerant"
Elderberries,York,North Field,Section 12,2023-05-01,2024-08-01,completed,400,165,"Medicinal berries, syrup production"
Aronia Berries,Viking,North Field,Section 13,2023-05-01,2024-08-15,completed,380,155,"Superfood berries, high antioxidants"
Honeyberries,Blue Banana,North Field,Section 14,2022-12-01,2024-05-01,completed,420,145,"Early season berries, unique flavor"
