name,category,startupCostPerAcre,annualRevenuePerAcre,profitMargin,growingTime,laborIntensity,bayAreaSuitability,marketDemand,waterNeeds,soilType,commonPests,commonDiseases,nutrientRequirements,pricePerPound,harvestFrequency,notes
Cannabis,Licensed Crops,"$50,000-$200,000","$150,000-$500,000","30-50%","3-4 months",Very High,5,Very High,High,Rich organic soil,"Spider mites, aphids, thrips","Powdery mildew, bud rot, root rot","High phosphorus during flowering","$1,500-$3,000",2-3 times/year,"Requires license $50K-$200K+, heavy regulation, high competition, security required"
Gourmet Mushrooms,Mushrooms,"$10,000-$20,000","$60,000-$100,000","35-45%","6-10 weeks",Medium-High,5,High,Low,Sterilized substrate,"Mites, flies","Trichoderma, green mold, bacterial blotch","Nitrogen-rich substrate, humidity","$10-$20",Year-round,"Indoor production, year-round harvest, high restaurant demand, controlled environment"
Strawberries,Berries,"$8,000-$15,000","$30,000-$50,000","25-35%","4-6 months",High,5,High,Medium,Sandy loam,"Spider mites, aphids, slugs","Gray mold, powdery mildew, verticillium wilt","Balanced NPK, calcium","$3-$8",Seasonal to year-round,"Perfect Bay Area climate, U-pick potential, agritourism, coastal fog benefits"
Lavender,Herbs & Flowers,"$5,000-$10,000","$20,000-$40,000","40-50%","2-3 years to peak",Low-Medium,5,Medium-High,Very Low,Well-draining, alkaline,"Whiteflies, spittlebugs","Root rot (overwatering), fungal diseases","Low nitrogen, well-draining soil","$15-$30 dried",Multiple/year,"Drought tolerant, value-added products (oil, soap), beautiful, low maintenance"
Saffron,Specialty Spices,"$15,000-$25,000","$30,000-$60,000","50-70%",Annual harvest,Medium,4,Medium,Low,Well-draining loam,"Rodents, birds","Corm rot, fusarium","Low to moderate, well-draining","$5,000-$10,000",Once/year,"Highest value spice, labor-intensive harvest, October bloom, very high price"
Ginseng,Medicinal Herbs,"$20,000-$40,000","$80,000-$200,000","60-80%","5-7 years",Low,3,High,Medium,Rich forest soil,"Slugs, voles","Root rot, blight","High organic matter, shade","$50-$200 dried root",Once after 5-7 years,"Long-term investment, requires 70-80% shade, Asian market demand, very high value"
Goji Berries,Berries,"$10,000-$15,000","$25,000-$45,000","35-45%","2-3 years to peak",Medium,5,Growing,Low,Well-draining sandy,"Aphids, spider mites","Powdery mildew, root rot","Moderate NPK, drought tolerant","$8-$15 fresh",Annual harvest,"Superfood trend, drought tolerant, dual market (TCM + health), perennial"
Culinary Herbs,Herbs,"$3,000-$8,000","$20,000-$40,000","35-50%","60-90 days",Medium,5,High,Medium,Well-draining loam,"Aphids, whiteflies, spider mites","Powdery mildew, downy mildew","Moderate nitrogen, balanced","$4-$12",Multiple/year,"Basil, cilantro, mint, oregano, thyme - high restaurant demand, easy to grow"
Bamboo,Specialty Crops,"$15,000-$30,000","$30,000-$60,000","40-60%","3-5 years",Low,4,Medium,Medium,Rich moist soil,Few pests,"Root rot (poor drainage)","High nitrogen for shoots","$4-$8 shoots",Annual shoots,"Edible shoots + construction poles, invasive concerns, containment required"
Specialty Cut Flowers,Flowers,"$5,000-$12,000","$25,000-$50,000","30-40%","60-120 days",High,5,High,Medium,Rich organic soil,"Aphids, thrips, spider mites","Botrytis, powdery mildew, root rot","High phosphorus for blooms","$2-$8/stem",Seasonal,"Dahlias, ranunculus, peonies - high-end florist market, wedding demand"
Astragalus,Medicinal Herbs,"$5,000-$10,000","$15,000-$30,000","40-50%","2-3 years",Medium,4,Medium-High,Low,Well-draining sandy,"Few pests","Root rot (wet soil)","Low to moderate, drought tolerant","$12-$25 dried root",Once after 2-3 years,"Chinese medicine (Huang Qi), drought tolerant, easy to grow, Asian market"
Reishi Mushroom,Medicinal Mushrooms,"$15,000-$25,000","$50,000-$100,000","45-55%","6-12 months",Medium-High,5,Very High,Low,Hardwood logs/substrate,"Mites, contamination","Green mold, bacterial contamination","Wood-based substrate","$30-$50 dried",Year-round,"Traditional Chinese medicine (Ling Zhi), controlled environment, very high value"
Schisandra,Medicinal Herbs,"$8,000-$12,000","$20,000-$35,000","40-55%","3+ years",Medium,4,Medium-High,Medium,Rich moist soil,"Aphids, spider mites","Powdery mildew, root rot","Moderate organic matter","$15-$30 dried berry",Annual harvest,"Five Flavor Berry (Wu Wei Zi), vining plant, requires trellis, adaptogenic herb"
Jujube,Fruits,"$10,000-$15,000","$20,000-$40,000","40-50%","3-4 years to peak",Low,5,Medium-High,Low,Well-draining loam,"Few pests","Root rot (overwatering)","Low to moderate","$3-$8 fresh",Annual harvest,"Chinese dates (Da Zao), drought tolerant, dual purpose (fresh/dried), low maintenance"
Turmeric,Medicinal Herbs,"$5,000-$8,000","$15,000-$30,000","45-55%","9-10 months",Medium,4,High,Medium,Rich moist soil,"Rhizome fly, aphids","Rhizome rot, leaf spot","High organic matter, warm soil","$8-$15 fresh",Annual harvest,"Trending superfood (Jiang Huang), easy to grow, Asian + health food markets"
Licorice,Medicinal Herbs,"$4,000-$8,000","$12,000-$25,000","35-50%","2-3 years",Low,4,Medium,Low,Deep sandy loam,"Few pests","Root rot (wet soil)","Low nitrogen, deep roots","$8-$18 dried root",Once after 2-3 years,"Chinese medicine (Gan Cao), multiple uses (tea, candy, medicine), drought tolerant"
Chrysanthemum,Flowers & Herbs,"$3,000-$6,000","$15,000-$25,000","40-55%",Annual,Medium,5,Medium,Medium,Well-draining loam,"Aphids, leaf miners","Powdery mildew, leaf spot","Moderate NPK, good drainage","$12-$20 dried flowers",2-3 times/year,"Tea flowers (Ju Hua), ornamental + medicinal, easy to grow, Asian market"
Codonopsis,Medicinal Herbs,"$6,000-$10,000","$18,000-$35,000","45-60%","2-3 years",Medium,4,Medium-High,Medium,Rich moist soil,"Slugs, aphids","Root rot, blight","High organic matter","$15-$28 dried root",Once after 2-3 years,"Ginseng alternative (Dang Shen), cheaper than ginseng, Asian medicine market"
Shiitake Mushrooms,Mushrooms,"$8,000-$15,000","$45,000-$75,000","35-45%","6-12 months",Medium,5,High,Low,Hardwood logs/sawdust,"Mites, flies","Green mold, contamination","Hardwood substrate, humidity","$12-$16",Year-round,"Most popular gourmet mushroom, restaurant demand, logs or indoor cultivation"
Oyster Mushrooms,Mushrooms,"$6,000-$12,000","$40,000-$70,000","40-50%","6-8 weeks",Medium,5,High,Low,Straw/sawdust substrate,"Mites, flies","Green mold, bacterial blotch","Straw or hardwood substrate","$10-$14",Year-round,"Fastest growing gourmet mushroom, multiple varieties (pearl, golden, pink), easy"
Lion's Mane,Medicinal Mushrooms,"$10,000-$18,000","$50,000-$80,000","40-50%","2-3 months",Medium-High,5,High,Low,Hardwood sawdust,"Mites, contamination","Green mold, contamination","Hardwood substrate, high humidity","$15-$20",Year-round,"Premium medicinal mushroom, cognitive health benefits, unique appearance, high demand"
Maitake,Mushrooms,"$12,000-$20,000","$55,000-$85,000","35-45%","3-6 months",Medium-High,5,High,Low,Hardwood substrate,"Mites, contamination","Green mold, bacterial issues","Oak substrate preferred","$15-$20",Year-round,"Hen of the Woods, medicinal properties, premium pricing, requires skill"
Basil,Culinary Herbs,"$2,000-$5,000","$18,000-$35,000","40-55%","60-90 days",Medium,5,Very High,Medium,Rich moist soil,"Aphids, whiteflies, Japanese beetles","Downy mildew, fusarium wilt","High nitrogen, warm soil","$8-$16",Multiple/year,"Genovese, Thai, Purple varieties, restaurant staple, high turnover, heat-loving"
Cilantro,Culinary Herbs,"$1,500-$4,000","$15,000-$30,000","40-50%","45-70 days",Medium,5,Very High,Medium,Well-draining loam,"Aphids, whiteflies","Powdery mildew, bacterial leaf spot","Moderate nitrogen, cool weather","$6-$12",Multiple/year,"Cool season herb, Asian + Latin cuisine, bolts in heat, succession planting"
Mint,Culinary Herbs,"$2,000-$4,000","$12,000-$25,000","45-55%",Perennial,Low,5,High,High,Moist rich soil,"Spider mites, aphids","Rust, powdery mildew","Moderate nitrogen, spreads easily","$5-$10",Multiple/year,"Peppermint, spearmint varieties, invasive (contain), tea + cocktail demand, perennial"
Rosemary,Culinary Herbs,"$3,000-$6,000","$15,000-$28,000","45-55%",Perennial,Low,5,High,Low,Well-draining sandy,"Spittlebugs, spider mites","Powdery mildew, root rot","Low nitrogen, Mediterranean","$8-$15",Year-round,"Perennial Mediterranean herb, drought tolerant, year-round harvest, low maintenance"
Thyme,Culinary Herbs,"$2,500-$5,000","$12,000-$22,000","45-55%",Perennial,Low,5,High,Low,Well-draining sandy,"Aphids, spider mites","Root rot, gray mold","Low nitrogen, well-draining","$8-$14",Year-round,"Perennial, drought tolerant, multiple varieties, Mediterranean cuisine, low care"
Parsley,Culinary Herbs,"$1,500-$3,500","$10,000-$20,000","40-50%","70-90 days",Medium,5,High,Medium,Rich moist soil,"Aphids, caterpillars","Leaf spot, powdery mildew","Moderate nitrogen","$6-$10",Multiple/year,"Flat leaf (Italian) and curly, biennial, cool season, restaurant garnish staple"
Arugula,Specialty Greens,"$1,000-$3,000","$12,000-$25,000","45-55%","30-40 days",Low,5,High,Low,Rich moist soil,"Flea beetles, aphids","Downy mildew","Moderate nitrogen, cool season","$8-$16",Multiple/year,"Fast-growing salad green, peppery flavor, restaurant demand, cool season crop"
Kale,Specialty Greens,"$1,500-$3,500","$10,000-$20,000","40-50%","60-90 days",Medium,5,High,Medium,Rich moist soil,"Aphids, cabbage worms","Clubroot, downy mildew","High nitrogen, brassica family","$3-$6",Multiple harvests,"Superfood green, multiple varieties, cold-hardy, farmers market favorite"
Lettuce Mix,Specialty Greens,"$2,000-$4,000","$15,000-$30,000","40-50%","30-60 days",Medium,5,Very High,Medium,Rich moist soil,"Aphids, slugs","Downy mildew, bottom rot","Moderate nitrogen, cool season","$4-$10",Multiple/year,"Spring mix, mesclun, restaurant demand, succession planting, cool season"
Cherry Tomatoes,Vegetables,"$4,000-$8,000","$18,000-$35,000","30-40%","60-90 days",High,5,Very High,Medium-High,Rich organic soil,"Hornworms, aphids, whiteflies","Early blight, late blight, fusarium wilt","High phosphorus, calcium","$4-$8",Seasonal,"Premium varieties, farmers market favorite, U-pick potential, summer crop"
Heirloom Tomatoes,Vegetables,"$5,000-$10,000","$20,000-$40,000","30-40%","75-100 days",High,5,High,Medium-High,Rich organic soil,"Hornworms, aphids, whiteflies","Early blight, late blight, fusarium wilt","High phosphorus, calcium","$5-$12",Seasonal,"Premium pricing, unique varieties, restaurant demand, flavor over yield"
Hot Peppers,Vegetables,"$3,000-$6,000","$12,000-$25,000","35-45%","75-100 days",Medium,5,High,Medium,Well-draining loam,"Aphids, spider mites","Bacterial spot, phytophthora","Moderate nitrogen, warm soil","$3-$8",Long season,"Jalapeño, habanero, Thai, hot sauce market, long harvest season, heat-loving"
Sweet Peppers,Vegetables,"$4,000-$7,000","$15,000-$28,000","30-40%","70-90 days",Medium-High,5,Very High,Medium,Rich loam,"Aphids, thrips","Bacterial spot, blossom end rot","Moderate nitrogen, calcium","$3-$7",Long season,"Bell peppers, specialty colors, restaurant demand, warm season crop"
Zucchini,Vegetables,"$2,000-$4,000","$8,000-$18,000","30-40%","50-65 days",Medium,5,High,Medium,Rich organic soil,"Squash bugs, cucumber beetles","Powdery mildew, bacterial wilt","High nitrogen, warm soil","$2-$5",Continuous,"Fast-growing, prolific, farmers market staple, pick small for premium"
Eggplant,Vegetables,"$3,000-$6,000","$12,000-$22,000","30-40%","70-90 days",Medium,5,High,Medium,Rich warm soil,"Flea beetles, aphids","Verticillium wilt, phytophthora","Moderate nitrogen, warm soil","$3-$7",Long season,"Asian + Italian varieties, restaurant demand, heat-loving, long season"
Green Beans,Vegetables,"$2,000-$4,000","$8,000-$16,000","30-40%","50-60 days",Medium,5,High,Medium,Well-draining loam,"Aphids, Mexican bean beetles","Rust, bacterial blight","Moderate, nitrogen-fixing","$3-$6",Multiple plantings,"Bush or pole varieties, easy to grow, succession planting, popular vegetable"
Cucumbers,Vegetables,"$2,500-$5,000","$10,000-$20,000","30-40%","50-70 days",Medium,5,Very High,High,Rich moist soil,"Cucumber beetles, aphids","Powdery mildew, downy mildew, bacterial wilt","High nitrogen, warm soil","$2-$5",Continuous,"Slicing + pickling varieties, trellis to save space, continuous harvest"
Garlic,Bulb Crops,"$3,000-$6,000","$15,000-$30,000","40-50%","6-9 months",Low,5,High,Low,Rich well-draining,"Few pests, maybe aphids","White rot, rust","Moderate nitrogen, fall planting","$8-$15",Once/year,"Hardneck + softneck, fall planted, scapes also marketable, stores well"
Shallots,Bulb Crops,"$4,000-$7,000","$18,000-$32,000","40-50%","90-120 days",Low,5,High,Low,Rich well-draining,"Thrips, onion maggots","Downy mildew, white rot","Moderate nitrogen","$6-$12",Once/year,"Premium onion alternative, restaurant demand, French cuisine, stores well"
Artichokes,Perennial Vegetables,"$5,000-$10,000","$20,000-$35,000","35-45%",Perennial,Medium,5,High,Medium,Rich well-draining,"Aphids, artichoke plume moth","Crown rot, powdery mildew","High nitrogen, Mediterranean","$3-$8 per bud",Annual harvest,"Perfect Bay Area climate, perennial, premium restaurants, April-May harvest"
Asparagus,Perennial Vegetables,"$8,000-$15,000","$15,000-$30,000","30-40%","2-3 years to peak",Low,5,High,Medium,Deep sandy loam,"Asparagus beetles","Fusarium, rust","Moderate, perennial bed","$4-$10",Spring harvest only,"Long-term perennial (15-20 years), spring delicacy, patient investment"
Figs,Tree Fruits,"$6,000-$12,000","$18,000-$35,000","40-50%","3-5 years to peak",Low,5,High,Low,Well-draining loam,"Fig beetles, birds","Rust, mosaic virus","Low to moderate","$5-$12",Dual season,"Black Mission, Brown Turkey, Mediterranean climate, dual harvest, drought tolerant"
Pomegranates,Tree Fruits,"$5,000-$10,000","$15,000-$30,000","40-50%","3-5 years to peak",Low,5,High,Low,Well-draining,"Few pests","Heart rot, fruit split","Low to moderate, drought tolerant","$3-$8",Fall harvest,"Wonderful variety, drought tolerant, antioxidant market, ornamental + edible"
Persimmons,Tree Fruits,"$6,000-$12,000","$18,000-$35,000","40-50%","4-6 years to peak",Low,5,Medium-High,Low,Well-draining loam,"Few pests","Crown gall","Moderate, well-draining","$4-$10",Fall harvest,"Fuyu (non-astringent), Asian market demand, beautiful fall color, low maintenance"
Asian Pears,Tree Fruits,"$7,000-$14,000","$20,000-$38,000","35-45%","4-6 years to peak",Medium,5,High,Medium,Well-draining loam,"Codling moth, aphids","Fire blight, scab","Moderate, thinning required","$3-$8",Summer harvest,"Shinseiki, crisp texture, Asian market demand, pollination needs, thinning required"
Blueberries,Berries,"$8,000-$15,000","$20,000-$35,000","30-40%","3-5 years to peak",Medium,4,Very High,Medium,Acidic soil (pH 4.5-5.5),"Birds, aphids","Mummy berry, root rot","Acidic soil required, sulfur","$5-$10",Summer harvest,"Bluecrop, Legacy varieties, requires acidic soil, bird netting needed, antioxidants"
Raspberries,Berries,"$6,000-$12,000","$18,000-$32,000","30-40%","2-3 years to peak",High,5,High,Medium,Rich moist soil,"Spotted wing drosophila, aphids","Root rot, cane blight","High organic matter","$6-$12",Summer + fall,"Heritage (everbearing), delicate fruit, high labor, premium pricing, bird protection"
Blackberries,Berries,"$5,000-$10,000","$15,000-$28,000","30-40%","2-3 years to peak",Medium,5,High,Medium,Rich moist soil,"Spotted wing drosophila","Cane blight, orange rust","High organic matter","$5-$10",Summer harvest,"Triple Crown (thornless), vigorous growers, less delicate than raspberries"
Passion Fruit,Exotic Fruits,"$8,000-$15,000","$25,000-$45,000","40-50%","2-3 years to peak",Medium,4,Medium,Medium,Rich well-draining,"Fruit flies, scale","Fusarium wilt, root rot","High potassium","$8-$15",Year-round in greenhouse,"Frederick variety, vigorous vines, greenhouse for year-round, exotic premium pricing"
Kiwi,Vine Fruits,"$10,000-$18,000","$25,000-$45,000","35-45%","4-7 years to peak",Medium,5,Medium-High,Medium,Rich well-draining,"Few pests","Crown rot, root rot","Moderate, needs male pollinator","$4-$10",Fall harvest,"Hayward (female), needs male plant, vigorous vine, trellis system, storage fruit"
Dragon Fruit,Exotic Fruits,"$15,000-$25,000","$30,000-$55,000","40-50%","2-4 years to peak",Medium,4,Medium,Low,Well-draining cactus mix,"Ants, scale","Stem rot (overwatering)","Low, cactus care","$5-$12",Multiple/year,"Exotic cactus fruit, greenhouse recommended, premium pricing, Instagram-worthy"
Hops,Specialty Crops,"$10,000-$18,000","$20,000-$35,000","35-45%",Perennial,Medium,5,Medium,Medium,Rich well-draining,"Aphids, spider mites","Downy mildew, powdery mildew","High nitrogen, trellis required","$10-$20 dried",Annual harvest,"Cascade variety, craft brewery market, vigorous vines, requires tall trellis"
Edamame,Vegetables,"$2,000-$4,000","$10,000-$20,000","35-45%","75-90 days",Medium,5,High,Medium,Well-draining loam,"Aphids, bean beetles","Rust, bacterial blight","Nitrogen-fixing legume","$3-$6",Once/year,"Soybean specialty, Asian market demand, easy to grow, summer crop"
Bok Choy,Asian Vegetables,"$1,500-$3,500","$12,000-$22,000","40-50%","45-60 days",Medium,5,Very High,Medium,Rich moist soil,"Aphids, flea beetles","Clubroot, downy mildew","High nitrogen, cool season","$3-$6",Multiple/year,"Shanghai variety, Asian market staple, cool season, fast-growing"
Daikon Radish,Asian Vegetables,"$1,200-$2,500","$8,000-$15,000","40-50%","50-70 days",Low,5,High,Low,Loose deep soil,"Flea beetles, aphids","Clubroot","Moderate, deep soil","$2-$5",Multiple/year,"Japanese radish, Asian market demand, fast-growing, cool season"
Kabocha Squash,Asian Vegetables,"$2,500-$5,000","$10,000-$20,000","35-45%","90-120 days",Medium,5,High,Medium,Rich warm soil,"Squash bugs, cucumber beetles","Powdery mildew, bacterial wilt","High nitrogen, warm season","$2-$5",Once/year,"Japanese pumpkin, Asian market demand, stores well, sweet flavor"
Tatsoi,Asian Greens,"$1,200-$2,800","$10,000-$18,000","45-55%","30-45 days",Low,5,High,Low,Rich moist soil,"Flea beetles, aphids","Clubroot, downy mildew","High nitrogen, cool season","$4-$8",Multiple/year,"Spoon mustard, microgreen or full size, cold-hardy, Asian cuisine"
